id,judul,resep
1,"Nasi Goreng Telur","Bahan-Bahan :

1. Nasi Putih: 2 piring (disarankan nasi yang sudah dingin atau nasi sisa semalam agar hasilnya lebih baik)
2. Telur Ayam: 2 butir
3. Bawang Merah: 3 siung, diiris tipis
4. Bawang Putih: 2 siung, diiris tipis
5. Cabe Merah: 2 buah, diiris serong (sesuaikan dengan selera pedas)
6. Kecap Manis: 2 sendok makan
7. Saus Tiram: 1 sendok makan
8. Garam: secukupnya
9. Merica Bubuk: secukupnya
10. Minyak Goreng: secukupnya untuk menumis
11. Daun Bawang: 1 batang, diiris tipis

Langkah Pembuatan :

1. Persiapan Bahan: Siapkan semua bahan dan bumbu yang dibutuhkan. Pastikan nasi sudah dalam keadaan dingin agar mudah untuk diolah.
2. Panaskan Minyak: Panaskan sedikit minyak goreng di wajan dengan api sedang.
3. Tumis Bawang: Masukkan bawang merah dan bawang putih yang telah diiris. Tumis hingga harum dan berwarna kecoklatan.
4. Tambahkan Cabe: Masukkan irisan cabe merah dan tumis sebentar hingga layu.
5. Masukkan Telur: Pecahkan telur dan masukkan ke dalam wajan. Aduk-aduk hingga telur hancur dan matang merata.
6. Masukkan Nasi: Tambahkan nasi putih ke dalam wajan. Aduk hingga nasi tercampur rata dengan telur dan bumbu.
7. Tambahkan Bumbu: Tambahkan kecap manis, saus tiram, garam, dan merica bubuk. Aduk kembali hingga semua bumbu tercampur rata dengan nasi.
8. Cicipi Rasa: Cicipi nasi goreng, tambahkan garam atau merica jika dirasa kurang sesuai dengan selera.
9. Tambahkan Daun Bawang**: Masukkan irisan daun bawang ke dalam nasi goreng. Aduk sebentar hingga daun bawang layu.
10. Angkat dan Sajikan: Setelah semua bahan matang dan tercampur sempurna, angkat nasi goreng dari wajan. Sajikan nasi goreng telur di piring saji.

Nasi goreng telur siap untuk dinikmati. Hidangan ini dapat disajikan dengan tambahan pelengkap seperti kerupuk, acar, atau irisan mentimun sesuai selera."
2,"Nasi Omelet","Bahan-Bahan :

1. Nasi Putih: 2 piring (lebih baik menggunakan nasi yang sudah dingin atau nasi sisa semalam)
2. Telur Ayam: 3 butir
3. Daging Ayam: 100 gram, dipotong kecil-kecil (bisa diganti dengan daging lain sesuai selera)
4. Bawang Merah: 3 siung, diiris tipis
5. Bawang Putih: 2 siung, diiris tipis
6. Wortel: 1 buah, dipotong dadu kecil
7. Kacang Polong: 50 gram
8. Kecap Asin: 1 sendok makan
9. Saus Tiram: 1 sendok makan
10. Garam: secukupnya
11. Merica Bubuk: secukupnya
12. Minyak Goreng: secukupnya untuk menumis
13. Daun Bawang: 1 batang, diiris tipis

Langkah Pembuatan :

1. Persiapan Bahan: Siapkan semua bahan dan bumbu yang dibutuhkan. Pastikan nasi sudah dalam keadaan dingin agar mudah diolah.
2. Panaskan Minyak: Panaskan sedikit minyak goreng di wajan dengan api sedang.
3. Tumis Bawang: Masukkan bawang merah dan bawang putih yang telah diiris. Tumis hingga harum dan berwarna kecoklatan.
4. Tambahkan Daging Ayam: Masukkan potongan daging ayam ke dalam wajan. Tumis hingga ayam berubah warna dan matang.
5. Tambahkan Sayuran: Masukkan potongan wortel dan kacang polong. Tumis hingga sayuran layu dan matang.
6. Masukkan Nasi: Tambahkan nasi putih ke dalam wajan. Aduk hingga nasi tercampur rata dengan daging dan sayuran.
7. Tambahkan Bumbu: Tambahkan kecap asin, saus tiram, garam, dan merica bubuk. Aduk kembali hingga semua bumbu tercampur rata dengan nasi.
8. Cicipi Rasa: Cicipi nasi, tambahkan garam atau merica jika dirasa kurang sesuai dengan selera.
9. Masukkan Daun Bawang: Masukkan irisan daun bawang ke dalam nasi. Aduk sebentar hingga daun bawang layu. Angkat dan sisihkan nasi.
10. Buat Omelet: Pecahkan telur dalam mangkuk, kocok lepas dengan sedikit garam. Panaskan sedikit minyak di wajan anti lengket. Tuang telur kocok dan ratakan hingga membentuk lapisan tipis. Masak hingga omelet matang.
11. Isi Omelet dengan Nasi: Letakkan nasi yang sudah dimasak di tengah omelet. Lipat sisi omelet menutupi nasi, membentuk lipatan seperti burrito atau amplop.
12. Angkat dan Sajikan: Angkat nasi omelet dari wajan dan letakkan di piring saji. Nasi omelet siap untuk dinikmati.

Nasi omelet dapat disajikan dengan tambahan pelengkap seperti saus sambal, saus tomat, atau irisan sayuran segar sesuai selera."
3,"Mie Dog Dog","Bahan-Bahan :

1. Mie Telur: 200 gram (bisa diganti dengan mie instan tanpa bumbu)
2. Telur Ayam: 2 butir
3. Bakso: 5 butir, diiris tipis
4. Sawi Hijau: 100 gram, dipotong-potong
5. Kol: 100 gram, diiris tipis
6. Wortel: 1 buah, diiris tipis
7. Bawang Merah: 3 siung, diiris tipis
8. Bawang Putih: 2 siung, diiris tipis
9. Cabe Merah: 2 buah, diiris serong (sesuaikan dengan selera pedas)
10. Kecap Manis: 2 sendok makan
11. Saus Tiram: 1 sendok makan
12. Garam: secukupnya
13. Merica Bubuk: secukupnya
14. Minyak Goreng: secukupnya untuk menumis
15. Air: secukupnya untuk merebus mie dan sayuran
16. Daun Bawang: 1 batang, diiris tipis
17. Bawang Goreng: secukupnya untuk taburan

Langkah Pembuatan :

1. Rebus Mie: Rebus mie telur dalam air mendidih hingga matang. Angkat dan tiriskan. Sisihkan.
2. Rebus Sayuran: Rebus sawi hijau, kol, dan wortel dalam air mendidih hingga layu. Angkat dan tiriskan. Sisihkan.
3. Panaskan Minyak: Panaskan sedikit minyak goreng di wajan dengan api sedang.
4. Tumis Bawang: Masukkan bawang merah dan bawang putih yang telah diiris. Tumis hingga harum dan berwarna kecoklatan.
5. Tambahkan Cabe dan Bakso: Masukkan irisan cabe merah dan bakso. Tumis sebentar hingga cabe layu dan bakso matang.
6. Masukkan Telur: Pecahkan telur ke dalam wajan. Aduk-aduk hingga telur hancur dan matang merata.
7. Masukkan Mie: Tambahkan mie yang sudah direbus ke dalam wajan. Aduk hingga mie tercampur rata dengan telur dan bumbu.
8. Tambahkan Sayuran: Masukkan sayuran rebus (sawi hijau, kol, wortel) ke dalam wajan. Aduk rata hingga semua bahan tercampur sempurna.
9. Tambahkan Bumbu: Tambahkan kecap manis, saus tiram, garam, dan merica bubuk. Aduk kembali hingga semua bumbu tercampur rata dengan mie dan sayuran.
10. Cicipi Rasa: Cicipi mie, tambahkan garam atau merica jika dirasa kurang sesuai dengan selera.
11. Masukkan Daun Bawang: Masukkan irisan daun bawang ke dalam mie. Aduk sebentar hingga daun bawang layu.
12. Angkat dan Sajikan: Setelah semua bahan matang dan tercampur sempurna, angkat mie dari wajan. Sajikan mie dog dog di piring saji dan taburi dengan bawang goreng.

Mie dog dog siap untuk dinikmati. Hidangan ini bisa disajikan dengan tambahan acar, sambal, atau kerupuk sesuai selera."
4,"Tumis Kangkung","Bahan-bahan:

1. Kangkung: 2 ikat, dipetik daunnya dan batang muda
2. Bawang Merah: 5 siung, diiris tipis
3. Bawang Putih: 3 siung, diiris tipis
4. Cabe Merah: 3 buah, diiris serong (sesuaikan dengan selera pedas)
5. Terasi: 1 sendok teh, dibakar
6. Tomat: 1 buah, dipotong-potong
7. Gula: secukupnya
8. Garam: secukupnya
9. Minyak Goreng: secukupnya untuk menumis
10. Air: 100 ml

Langkah Pembuatan:

1. Persiapan Bahan: Siapkan semua bahan dan bumbu yang dibutuhkan. Cuci bersih kangkung dan tiriskan.
2. Panaskan Minyak: Panaskan sedikit minyak goreng di wajan dengan api sedang.
3. Tumis Bawang: Masukkan bawang merah dan bawang putih yang telah diiris. Tumis hingga harum dan berwarna kecoklatan.
4. Tambahkan Terasi dan Cabe: Masukkan terasi yang telah dibakar dan irisan cabe merah. Tumis hingga terasi larut dan cabe layu.
5. Tambahkan Tomat: Masukkan potongan tomat. Tumis hingga tomat sedikit layu dan mengeluarkan aroma.
6. Masukkan Kangkung: Masukkan kangkung ke dalam wajan. Aduk-aduk hingga kangkung layu dan tercampur rata dengan bumbu.
7. Tambahkan Air: Tuang air ke dalam wajan. Aduk rata dan masak hingga kangkung matang.
8. Tambahkan Bumbu: Tambahkan gula dan garam. Aduk kembali hingga semua bumbu tercampur rata dengan sayur.
9. Cicipi Rasa: Cicipi tumis kangkung, tambahkan gula atau garam jika dirasa kurang sesuai dengan selera.
10. Angkat dan Sajikan: Setelah semua bahan matang dan tercampur sempurna, angkat tumis kangkung dari wajan. Sajikan tumis kangkung di piring saji.

Tumis kangkung siap untuk dinikmati. Hidangan ini dapat disajikan dengan nasi hangat dan lauk tambahan sesuai selera."
5,"Perkedel Kentang","Bahan-bahan:

1. Kentang: 500 gram, kupas dan potong kecil
2. Wortel: 1 buah, kupas dan parut halus
3. Bawang Merah: 3 siung, cincang halus
4. Bawang Putih: 2 siung, cincang halus
5. Daun Bawang: 2 batang, cincang halus
6. Telur: 1 butir, dikocok
7. Tepung Terigu: 2 sendok makan
8. Garam: secukupnya
9. Merica: secukupnya
10. Minyak Goreng: secukupnya untuk menggoreng

Langkah Pembuatan:

1. Rebus Kentang: Rebus potongan kentang dalam air mendidih hingga empuk. Tiriskan dan tumbuk hingga halus.
2. Campur Bahan: Campur kentang yang sudah ditumbuk dengan wortel parut, bawang merah, bawang putih, daun bawang, garam, dan merica. Aduk rata.
3. Bentuk Perkedel: Ambil adonan secukupnya, bulatkan, dan pipihkan untuk membentuk perkedel.
4. Celupkan ke Telur: Celupkan perkedel ke dalam telur yang telah dikocok.
5. Balut dengan Tepung: Balut perkedel dengan tepung terigu secara merata.
6. Goreng Perkedel: Panaskan minyak goreng dalam wajan. Goreng perkedel hingga kecoklatan dan matang sempurna.
7. Tiriskan: Angkat perkedel dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan minyak berlebih.
8. Sajikan: Sajikan perkedel hangat sebagai lauk pendamping nasi atau sebagai camilan.

Perkedel siap untuk dinikmati. Selamat mencoba!"
6,"Oseng Tempe","Bahan-bahan:

1. Tempe: 1 blok (sekitar 250 gram), potong dadu
2. Bawang Merah: 4 siung, iris tipis
3. Bawang Putih: 2 siung, iris tipis
4. Cabe Merah: 2 buah, iris tipis (sesuaikan dengan selera pedas)
5. Daun Jeruk: 2 lembar, iris tipis
6. Kecap Manis: 2 sendok makan
7. Gula: 1 sendok teh
8. Garam: secukupnya
9. Minyak Goreng: 2 sendok makan

Langkah Pembuatan:

1. Panaskan Minyak: Panaskan minyak goreng dalam wajan dengan api sedang.
2. Tumis Bawang: Tumis bawang merah dan bawang putih hingga harum dan berwarna kecoklatan.
3. Masukkan Tempe: Masukkan potongan tempe ke dalam wajan. Tumis hingga tempe berubah warna menjadi kecoklatan.
4. Tambahkan Cabe: Masukkan irisan cabe merah dan tumis sebentar hingga layu.
5. Tambahkan Bumbu: Tambahkan daun jeruk, kecap manis, gula, dan garam. Aduk rata hingga semua bumbu meresap ke dalam tempe.
6. Oseng Tempe: Aduk terus tempe hingga bumbu tercampur merata dan tempe matang sempurna.
7. Cicipi Rasa: Cicipi oseng tempe, tambahkan gula atau garam jika diperlukan sesuai dengan selera.
8. Angkat dan Sajikan: Setelah tempe matang dan bumbu meresap, angkat oseng tempe dari wajan. Sajikan dalam piring saji.

Oseng tempe siap untuk dinikmati sebagai lauk pendamping nasi hangat."
7,"Mie Tek Tek","Bahan-bahan:

1. Mie Tek Tek: 2 bungkus
2. Ayam Fillet: 200 gram, potong dadu kecil
3. Telur Ayam: 2 butir, kocok lepas
4. Bawang Merah: 4 siung, cincang halus
5. Bawang Putih: 3 siung, cincang halus
6. Cabe Merah: 2 buah, iris tipis (opsional)
7. Wortel: 1 buah, potong dadu kecil
8. Daun Bawang: 2 batang, iris tipis
9. Sawi Hijau: 1 ikat, potong-potong
10. Kecap Manis: 2 sendok makan
11. Kecap Asin: 1 sendok makan
12. Minyak Goreng: 2 sendok makan
13. Garam: secukupnya
14. Merica: secukupnya

Langkah Pembuatan:

1. Rebus Mie: Rebus mie tek tek sesuai petunjuk pada kemasan. Tiriskan dan sisihkan.
2. Tumis Bumbu: Panaskan minyak goreng dalam wajan. Tumis bawang merah dan bawang putih hingga harum.
3. Tumis Ayam: Masukkan potongan ayam fillet ke dalam wajan. Tumis hingga ayam matang dan berwarna kecoklatan.
4. Tambahkan Telur: Tuang telur kocok ke dalam wajan. Aduk-aduk hingga telur setengah matang.
5. Masukkan Sayuran: Tambahkan wortel, daun bawang, dan sawi hijau ke dalam wajan. Tumis hingga sayuran layu.
6. Bumbui: Tambahkan kecap manis, kecap asin, garam, dan merica. Aduk rata hingga bumbu merata.
7. Masukkan Mie: Tambahkan mie tek tek ke dalam wajan. Aduk-aduk hingga mie tercampur rata dengan bumbu dan sayuran.
8. Cicipi Rasa: Cicipi mie tek tek, tambahkan garam atau merica jika diperlukan sesuai dengan selera.
9. Angkat dan Sajikan: Setelah mie matang dan bumbu meresap, angkat mie tek tek dari wajan. Sajikan dalam mangkuk saji.

Mie tek tek siap untuk dinikmati sebagai hidangan lezat dan mengenyangkan!"
8,"Orak Arik Telur","Bahan-bahan:

1. Telur Ayam: 3 butir
2. Bawang Merah: 2 siung, cincang halus
3. Bawang Putih: 1 siung, cincang halus
4. Daun Bawang: 1 batang, iris tipis
5. Tomat: 1 buah, potong dadu kecil
6. Garam: secukupnya
7. Merica Bubuk: secukupnya
8. Susu Cair: 2 sendok makan (opsional, untuk membuat telur lebih lembut)
9. Minyak Goreng atau Mentega: 2 sendok makan
10. Keju Parut: secukupnya (opsional)

Langkah Pembuatan:

1. Kocok Telur: Kocok telur dalam mangkuk, tambahkan garam, merica, dan susu cair (jika digunakan). Aduk rata.
2. Panaskan Minyak atau Mentega: Panaskan minyak goreng atau mentega dalam wajan dengan api sedang.
3. Tumis Bawang: Tumis bawang merah dan bawang putih hingga harum dan berwarna kecoklatan.
4. Tambahkan Tomat: Masukkan potongan tomat ke dalam wajan. Tumis hingga tomat sedikit layu.
5. Masukkan Telur: Tuang kocokan telur ke dalam wajan. Tunggu sebentar hingga bagian bawah telur mulai matang.
6. Orak-arik Telur: Aduk-aduk telur dengan spatula hingga telur matang dan berbutir halus.
7. Tambahkan Daun Bawang: Masukkan irisan daun bawang. Aduk sebentar hingga daun bawang layu.
8. Tambahkan Keju (Opsional): Jika menggunakan keju, taburkan keju parut ke dalam telur orak-arik dan aduk hingga keju meleleh.
9. Cicipi Rasa: Cicipi telur orak-arik, tambahkan garam atau merica jika diperlukan sesuai dengan selera.
10. Angkat dan Sajikan: Angkat telur orak-arik dari wajan. Sajikan dalam piring saji.

Telur orak-arik siap untuk dinikmati sebagai sarapan yang lezat dan bergizi. Cocok disajikan dengan roti panggang atau nasi hangat."
9,"Tempe Goreng","Bahan-bahan:

1. Tempe: 1 blok (sekitar 250 gram), potong tipis atau sesuai selera
2. Bawang Putih: 3 siung, haluskan
3. Ketumbar Bubuk: 1 sendok teh
4. Garam: 1 sendok teh
5. Air: 100 ml
6. Minyak Goreng: secukupnya untuk menggoreng

Langkah Pembuatan:

1. Siapkan Bumbu: Campurkan bawang putih yang sudah dihaluskan, ketumbar bubuk, dan garam dalam mangkuk. Tambahkan air dan aduk hingga bumbu tercampur rata.
2. Rendam Tempe: Masukkan potongan tempe ke dalam campuran bumbu. Rendam selama 10-15 menit agar bumbu meresap.
3. Panaskan Minyak: Panaskan minyak goreng dalam wajan dengan api sedang.
4. Goreng Tempe: Masukkan tempe yang sudah direndam bumbu ke dalam minyak panas. Goreng hingga tempe berwarna kuning kecoklatan dan kering. Balik tempe sesekali agar matang merata.
5. Tiriskan: Angkat tempe dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan minyak berlebih.
6. Sajikan: Sajikan tempe goreng dalam piring saji.

Tempe goreng siap untuk dinikmati sebagai lauk pendamping nasi atau camilan. Selamat mencoba!"
10,"Nasi Mawut","Bahan-bahan:

1. Nasi Putih: 2 piring (sebaiknya nasi dingin atau nasi sisa semalam)
2. Mie Instan: 1 bungkus, rebus dan tiriskan
3. Ayam Fillet: 100 gram, potong dadu kecil
4. Telur Ayam: 2 butir, kocok lepas
5. Bawang Merah: 3 siung, cincang halus
6. Bawang Putih: 2 siung, cincang halus
7. Cabe Merah: 2 buah, iris serong (opsional)
8. Sawi Hijau: 1 ikat, potong-potong
9. Kol: 100 gram, iris tipis
10. Kecap Manis: 2 sendok makan
11. Saus Tiram: 1 sendok makan
12. Garam: secukupnya
13. Merica: secukupnya
14. Minyak Goreng: secukupnya untuk menumis
15. Bawang Goreng: secukupnya untuk taburan

Langkah Pembuatan:

1. Panaskan Minyak: Panaskan sedikit minyak goreng dalam wajan dengan api sedang.
2. Tumis Bumbu: Tumis bawang merah dan bawang putih hingga harum.
3. Tumis Ayam: Masukkan potongan ayam ke dalam wajan. Tumis hingga ayam berubah warna dan matang.
4. Tambahkan Telur: Tuang telur kocok ke dalam wajan. Aduk-aduk hingga telur setengah matang.
5. Tambahkan Sayuran: Masukkan sawi hijau dan kol. Tumis hingga sayuran layu.
6. Masukkan Nasi dan Mie: Tambahkan nasi putih dan mie instan yang telah direbus. Aduk rata hingga semua bahan tercampur.
7. Bumbui: Tambahkan kecap manis, saus tiram, garam, dan merica. Aduk rata hingga bumbu meresap.
8. Tambahkan Cabe: Masukkan irisan cabe merah, aduk sebentar hingga cabe layu.
9. Cicipi Rasa: Cicipi nasi mawut, tambahkan garam atau merica jika diperlukan sesuai dengan selera.
10. Angkat dan Sajikan: Setelah semua bahan matang dan bumbu meresap, angkat nasi mawut dari wajan. Sajikan dalam piring saji.
11. Taburi Bawang Goreng: Taburi nasi mawut dengan bawang goreng untuk menambah cita rasa.

Nasi mawut siap dinikmati sebagai hidangan utama yang lezat dan mengenyangkan!"
